from,to,from_name,to_name
6,7,ВТ_ПЕНСИОННЫЕСЧЕТА_ПР,ВТ_ПенсионныеСчета
11,12,ВТ_ТИПЫПЕНСИЙНАЧАЛОПЕРИОДА,ВТ_ВыплатныеНачалоПериода
11,13,ВТ_ТИПЫПЕНСИЙНАЧАЛОПЕРИОДА,ВТ_СостояниеНачалоПериода
7,13,ВТ_ПЕНСИОННЫЕСЧЕТА,ВТ_СостояниеНачалоПериода
7,14,ВТ_ПЕНСИОННЫЕСЧЕТА,ВТ_ВидОбязательствНачало
12,14,ВТ_ВЫПЛАТНЫЕНАЧАЛОПЕРИОДА,ВТ_ВидОбязательствНачало
13,14,ВТ_СОСТОЯНИЕНАЧАЛОПЕРИОДА,ВТ_ВидОбязательствНачало
7,15,ВТ_ПЕНСИОННЫЕСЧЕТА,ВТ_ИзмененияВидаОбязательств_Предв
15,16,ВТ_ИЗМЕНЕНИЯВИДАОБЯЗАТЕЛЬСТВ_ПРЕДВ,ВТ_ИзмененияВидаОбязательств
14,17,ВТ_ВИДОБЯЗАТЕЛЬСТВНАЧАЛО,ВТ_ВидыОбязательств
16,17,ВТ_ИЗМЕНЕНИЯВИДАОБЯЗАТЕЛЬСТВ,ВТ_ВидыОбязательств
17,18,ВТ_ВИДЫОБЯЗАТЕЛЬСТВ,ВТ_ВидыОбязательствДвижение
18,19,ВТ_ВИДЫОБЯЗАТЕЛЬСТВДВИЖЕНИЕ,ВТ_СчетаТранзитныеВидыОбязательств
18,20,ВТ_ВИДЫОБЯЗАТЕЛЬСТВДВИЖЕНИЕ,ВТ_СчетаНеТранзитныеВидыОбязательств
19,20,ВТ_СЧЕТАТРАНЗИТНЫЕВИДЫОБЯЗАТЕЛЬСТВ,ВТ_СчетаНеТранзитныеВидыОбязательств
18,21,ВТ_ВИДЫОБЯЗАТЕЛЬСТВДВИЖЕНИЕ,ВТ_НеТранзитныеВидыНачалоКонец
20,21,ВТ_СЧЕТАНЕТРАНЗИТНЫЕВИДЫОБЯЗАТЕЛЬСТВ,ВТ_НеТранзитныеВидыНачалоКонец
