id,type,name,text
0,temp_query,ВТ_ИСПОЛЬЗОВАТЬДЛЯНПО,"ВЫБРАТЬ
	ВЫБОР
		КОГДА &ИСПОЛЬЗОВАТЬДЛЯНПО = 1                                
			ТОГДА ИСТИНА
		ИНАЧЕ ЛОЖЬ
	КОНЕЦ КАК Поле1
ПОМЕСТИТЬ ВТ_ИСПОЛЬЗОВАТЬДЛЯНПО"
1,temp_query,ВТ_ТипыРезервов,"ВЫБРАТЬ
	ЗНАЧЕНИЕ(Перечисление.уп_ТипыРезерва.ИПС) КАК ТипРезерва
ПОМЕСТИТЬ ВТ_ТипыРезервов

ОБЪЕДИНИТЬ ВСЕ

ВЫБРАТЬ
	ЗНАЧЕНИЕ(Перечисление.уп_ТипыРезерва.СПС)

ОБЪЕДИНИТЬ ВСЕ

ВЫБРАТЬ
	ЗНАЧЕНИЕ(Переч"
2,temp_query,ВТ_ВидыПаспортов,"ВЫБРАТЬ
	ВидыДокументовФизическихЛиц.Ссылка КАК ВидДокумента
ПОМЕСТИТЬ ВТ_ВидыПаспортов
ИЗ
	Справочник.ВидыДокументовФизическихЛиц КАК ВидыДокументовФизическихЛиц
ГДЕ
	ВидыДокументовФизическихЛиц.ИмяП"
3,temp_query,ВТ_ДокументыСторно,"ВЫБРАТЬ
	уп_ОперацияНПО.Ссылка КАК ДокументСторно
ПОМЕСТИТЬ ВТ_ДокументыСторно
ИЗ
	Документ.уп_ОперацияНПО КАК уп_ОперацияНПО
ГДЕ
	уп_ОперацияНПО.Дата МЕЖДУ &НачалоПериода И &КонецПериода
	И уп_Операц"
4,temp_query,ВТ_ПереводыИзРегистров_ВидыДвижений,"ВЫБРАТЬ
	ВидыДвижений.Ссылка КАК Ссылка
ПОМЕСТИТЬ ВТ_ПереводыИзРегистров_ВидыДвижений
ИЗ
	Перечисление.епс_ВидыДвиженияПенсионныхРезервов КАК ВидыДвижений
ГДЕ
//+ЮП 21.04.25
	ВидыДвижений.Ссылка В (ЗН"
5,temp_query,ВТ_ПереводыИзРегистров_ВидыДвижений_ВРезервы,"ВЫБРАТЬ
	ВидыДвижений.Ссылка КАК Ссылка
ПОМЕСТИТЬ ВТ_ПереводыИзРегистров_ВидыДвижений_ВРезервы
ИЗ
	Перечисление.епс_ВидыДвиженияПенсионныхРезервов КАК ВидыДвижений
ГДЕ
//+ЮП 22.04.25
	ВидыДвижений.Ссы"
6,temp_query,ВТ_ПенсионныеСчета_ПР,"ВЫБРАТЬ
	Подзапрос.ПенсионныйСчет КАК ПенсионныйСчет
ПОМЕСТИТЬ ВТ_ПенсионныеСчета_ПР
ИЗ
	(ВЫБРАТЬ
		уп_РезервыОстатки.НомерСчета КАК ПенсионныйСчет
	ИЗ
		РегистрНакопления.уп_Резервы.Остатки(
				&Нач"
7,temp_query,ВТ_ПенсионныеСчета,"ВЫБРАТЬ РАЗЛИЧНЫЕ
	ВТ_ПенсионныеСчета_ПР.ПенсионныйСчет КАК ПенсионныйСчет
ПОМЕСТИТЬ ВТ_ПенсионныеСчета
ИЗ
	ВТ_ПенсионныеСчета_ПР КАК ВТ_ПенсионныеСчета_ПР
ГДЕ
	НЕ ВТ_ПенсионныеСчета_ПР.ПенсионныйСчет"
8,temp_query,ВТ_ПричиныЗакрытия,"ВЫБРАТЬ
	уп_ПричиныЗакрытияПССрезПоследних.НомерСчета КАК ПенсионныйСчет,
	уп_ПричиныЗакрытияПССрезПоследних.ПричинаЗакрытия КАК ПричинаЗакрытия,
	ВЫБОР
		КОГДА уп_ПричиныЗакрытияПССрезПоследних.Регис"
9,temp_query,ВТ_ВидыПенсионныхСчетов,"ВЫБРАТЬ
	уп_ВидПенсионногоСчетаСрезПоследних.НомерСчета КАК ПенсионныйСчет,
	уп_ВидПенсионногоСчетаСрезПоследних.ВидПенсионногоСчета КАК ВидПенсионногоСчета
ПОМЕСТИТЬ ВТ_ВидыПенсионныхСчетов
ИЗ
	Регис"
10,temp_query,ВТ_ПенсионныеСчетаРПВ,"ВЫБРАТЬ РАЗЛИЧНЫЕ
	Резервы.НомерСчета КАК ПенсионныйСчет
ПОМЕСТИТЬ ВТ_ПенсионныеСчетаРПВ
ИЗ
	РегистрНакопления.уп_Резервы.Обороты(
			,
			&КонецПериода,
			,
			НомерСчета В
					(ВЫБРАТЬ
						ВТ_Пе"
11,temp_query,ВТ_ТипыПенсийНачалоПериода,"ВЫБРАТЬ
	уп_СхемаСчетаНаНачало.НомерСчета КАК НомерСчета,
	ВЫБОР
		КОГДА уп_СхемаСчетаНаНачало.ТипПенсии = ЗНАЧЕНИЕ(Перечисление.уп_ТипыПенсионныхСхем.ПустаяСсылка) 
			ТОГДА уп_СхемаСчетаНаНачало.Схе"
12,temp_query,ВТ_ВыплатныеНачалоПериода,"ВЫБРАТЬ
	уп_СостоянияПССрезПервых.Период КАК Период,
	уп_СостоянияПССрезПервых.Состояние КАК Состояние,
	уп_СостоянияПССрезПервых.НомерСчета КАК НомерСчета,
	ВТ_ТипыПенсийНачалоПериода.ТипПенсии КАК Т"
13,temp_query,ВТ_СостояниеНачалоПериода,"ВЫБРАТЬ
	ВЫБОР
		КОГДА ВТ_ПенсионныеСчета.ПенсионныйСчет.ТипПенсионногоСчета В (ЗНАЧЕНИЕ(Перечисление.уп_ТипыПенсионныхСчетов.ПенсионныйСчетДоговора),
		                                               "
14,temp_query,ВТ_ВидОбязательствНачало,"ВЫБРАТЬ
	ВТ_ПенсионныеСчета.ПенсионныйСчет КАК ПенсионныйСчет,
	ВЫБОР
		КОГДА ВТ_СостояниеНачалоПериода.Состояние В (ЗНАЧЕНИЕ(Перечисление.уп_СостоянияПС.Закрыт), ЗНАЧЕНИЕ(Перечисление.уп_СостоянияПС."
15,temp_query,ВТ_ИзмененияВидаОбязательств_Предв,"ВЫБРАТЬ
	ВТ_ПенсионныеСчета.ПенсионныйСчет КАК ПенсионныйСчет,
	ВЫБОР
		КОГДА ВТ_ПенсионныеСчета.ПенсионныйСчет.ТипПенсионногоСчета В (ЗНАЧЕНИЕ(Перечисление.уп_ТипыПенсионныхСчетов.ПенсионныйСчетДогов"
16,temp_query,ВТ_ИзмененияВидаОбязательств,"ВЫБРАТЬ
	ВТ_ИзмененияВидаОбязательств_Предв.ПенсионныйСчет КАК ПенсионныйСчет,
	МИНИМУМ(ВТ_ИзмененияВидаОбязательств_Предв.Период) КАК Период,
	ВТ_ИзмененияВидаОбязательств_Предв.ВидОбязательств КАК В"
17,temp_query,ВТ_ВидыОбязательств,"ВЫБРАТЬ
	ВТ_ВидОбязательствНачало.ПенсионныйСчет КАК ПенсионныйСчет,
	ВТ_ВидОбязательствНачало.ВидОбязательствВход КАК ВидОбязательств,
	ВТ_ВидОбязательствНачало.ДатаОпределенияОбязательств КАК ДатаОп"
18,temp_query,ВТ_ВидыОбязательствДвижение,"ВЫБРАТЬ
	ВТ_ВидыОбязательств.ПенсионныйСчет КАК ПенсионныйСчет,
	ВТ_ВидыОбязательств.ВидОбязательств КАК ВидОбязательств,
	МИНИМУМ(ВТ_ВидыОбязательств.ДатаОпределенияОбязательств) КАК ДатаОпределенияО"
19,temp_query,ВТ_СчетаТранзитныеВидыОбязательств,"ВЫБРАТЬ РАЗЛИЧНЫЕ
	ВТ_ВидыОбязательствДвижение.ПенсионныйСчет КАК ПенсионныйСчет
ПОМЕСТИТЬ ВТ_СчетаТранзитныеВидыОбязательств
ИЗ
	ВТ_ВидыОбязательствДвижение КАК ВТ_ВидыОбязательствДвижение
ГДЕ
	НЕ ВТ"
20,temp_query,ВТ_СчетаНеТранзитныеВидыОбязательств,"ВЫБРАТЬ РАЗЛИЧНЫЕ
	ВТ_ВидыОбязательствДвижение.ПенсионныйСчет КАК ПенсионныйСчет
ПОМЕСТИТЬ ВТ_СчетаНеТранзитныеВидыОбязательств
ИЗ
	ВТ_ВидыОбязательствДвижение КАК ВТ_ВидыОбязательствДвижение
	ЛЕВОЕ С"
21,temp_query,ВТ_НеТранзитныеВидыНачалоКонец,"ВЫБРАТЬ
	ВТ_ВидыОбязательствДвижение.ПенсионныйСчет КАК ПенсионныйСчет,
	ВТ_ВидыОбязательствДвижение.ВидОбязательств КАК ВидОбязательств,
	ВТ_ВидыОбязательствДвижение.ДатаОпределенияОбязательств КАК Д"
22,temp_query,ВТ_ТранзитныеВидыНачалоКонец,"ВЫБРАТЬ
	ВТ_ВидыОбязательствДвижение.ПенсионныйСчет КАК ПенсионныйСчет,
	ВТ_ВидыОбязательствДвижение.ВидОбязательств КАК ВидОбязательств,
	ВТ_ВидыОбязательствДвижение.ДатаОпределенияОбязательств КАК Д"
23,temp_query,ВТ_СторнированныеСуммыТранзитныеВиды,"ВЫБРАТЬ
	ВТ_ТранзитныеВидыНачалоКонец.ПенсионныйСчет КАК ПенсионныйСчет,
	ВТ_ТранзитныеВидыНачалоКонец.ВидОбязательств КАК ВидОбязательств,
	ВТ_ТранзитныеВидыНачалоКонец.ДатаОпределенияОбязательств КА"
24,temp_query,ВТ_ОстаткиТранзитныеВиды,"ВЫБРАТЬ
	ПодЗапрос.ПенсионныйСчет КАК ПенсионныйСчет,
	ПодЗапрос.ВидОбязательств КАК ВидОбязательств,
	ПодЗапрос.ДатаОпределенияОбязательств КАК ДатаОпределенияОбязательств,
	ПодЗапрос.ДатаОкончанияОб"
25,temp_query,ВТ_Суммы_ПР_ТранзитныеВиды,"ВЫБРАТЬ
	ПодЗапрос.ПенсионныйСчет КАК ПенсионныйСчет,
	ПодЗапрос.ВидОбязательств КАК ВидОбязательств,
	ПодЗапрос.ДатаОпределенияОбязательств КАК ДатаОпределенияОбязательств,
	ПодЗапрос.ДатаОкончанияОб"
26,unknown,Query_27,
27,temp_query,ВТ_ВыплатыПРТранзитныеВиды,"ВЫБРАТЬ
	ВТ_ТранзитныеВидыНачалоКонец.ПенсионныйСчет КАК ПенсионныйСчет,
	ВТ_ТранзитныеВидыНачалоКонец.ВидОбязательств КАК ВидОбязательств,
	ВТ_ТранзитныеВидыНачалоКонец.ДатаОпределенияОбязательств КА"
28,temp_query,ВТ_ВыплатыТранзитныеВиды,"ВЫБРАТЬ
	ВТ_ВыплатыПРТранзитныеВиды.ПенсионныйСчет КАК ПенсионныйСчет,
	ВТ_ВыплатыПРТранзитныеВиды.ВидОбязательств КАК ВидОбязательств,
	ВТ_ВыплатыПРТранзитныеВиды.ДатаОпределенияОбязательств КАК Дата"
29,temp_query,ВТ_ПеремещенияВСтраховойРезервТранзитныеВиды,"ВЫБРАТЬ
	уп_Резервы.Регистратор КАК Регистратор,
	ВТ_ТранзитныеВидыНачалоКонец.ПенсионныйСчет КАК ПенсионныйСчет,
	ВТ_ТранзитныеВидыНачалоКонец.ВидОбязательств КАК ВидОбязательств,
	ВТ_ТранзитныеВидыН"
30,temp_query,ВТ_ПереводыИзРегистров_РезервыТранзитныеВиды,"ВЫБРАТЬ
	Резервы.Регистратор КАК Регистратор,
	ВТ_ТранзитныеВидыНачалоКонец.ПенсионныйСчет КАК ПенсионныйСчет,
	ВТ_ТранзитныеВидыНачалоКонец.ВидОбязательств КАК ВидОбязательств,
	ВТ_ТранзитныеВидыНача"
31,temp_query,ВТ_ПереводыИзРегистров_РегистрыТранзитныеВиды,"ВЫБРАТЬ
	1 КАК Раздел,
	ВТ_ПереводыИзРегистров.ПенсионныйСчет КАК ПенсионныйСчет,
	ВТ_ПереводыИзРегистров.ВидОбязательств КАК ВидОбязательств,
	ВТ_ПереводыИзРегистров.ДатаОпределенияОбязательств КАК Д"
